file_path,language,category,origin,evidence,action,compile_status,notes
libcalculix_base.a,Archive,A,CalculiX 2.15 original,1117 objects; built from D:\ccx\src (960.f+165.c); Copyright Guido Dhondt 1998-2018,Keep as binary library in components\open_source\calculix\,compiled_as_library,CalculiX 2.15 GPL v2+; source at D:\ccx\src
bmatrix.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
bsort.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
calccvel.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
calccvfa.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
calcgradtemp_cast.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
calchcel.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
calchcfa.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
calcinitialflux.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
calcmechstrain.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
calcpel.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
calcrespfluid.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
calcrestfluid.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
calcresvfluid1.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
calcresvfluid2.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
